gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,0,0,0,-1.2419671042985652,1,0,0.19450337604780069,-0.9483905218165678,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
0,0,0,0,-0.712073292837392,1,1,0.6484915949666992,-0.43542412425866617,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
1,0,1,1,1.407501953007301,1,1,0.8214394878881845,1.8030288818925981,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0
1,0,0,0,-1.1196839170382944,1,1,0.02488140414403604,-0.8604496410613424,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0
1,0,0,0,-0.2637016062163992,1,1,-1.481760816883518,-0.7848037077410219,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0
0,0,0,0,-1.1604449794583847,1,1,-0.015029648068614022,-0.8988134088205245,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0
1,0,1,1,-0.3859847934766699,1,0,-1.505042264007564,-0.8221520938448976,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
1,1,0,0,-1.2419671042985652,1,1,0.32754021675663547,-0.9374862057791477,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
1,0,0,0,0.755324954285857,1,0,-1.5216718690961684,-0.5655916377660867,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0
1,0,1,1,-0.14141841895612844,1,0,0.5071399517135622,-0.034061414727476216,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,0
1,0,0,0,-1.1604449794583847,1,1,0.6917285681970708,-0.8608911113462582,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
1,0,0,0,-1.0381617921981139,1,1,0.7299766599008606,-0.7366392996567094,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
0,0,0,1,-0.8751175425177529,1,0,-1.4884126589189595,-0.9127859433381093,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,1
0,0,0,0,0.6330417670255862,1,0,-1.340409173630381,-0.4789972413798546,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0
1,0,0,0,-1.2827281667186554,1,0,-0.35094767085842216,-0.9865335544332918,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1,0,1,1,1.6113072651077522,1,0,0.8264283694147659,1.7881071862624445,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,0,1,1,1.570546202687662,1,0,0.4223289657616801,1.4504044918161114,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,0
0,1,1,0,1.4890240778474815,1,0,1.3485979691969427,2.0793230597071446,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,0
1,0,0,0,-1.2827281667186554,1,0,-1.4917385799366805,-1.0016759852059034,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
